EXPORT DATE,HSN CODE,DESCRIPTION,EXPORTER NAME,EXPORTER ADDRESS,EXPORTER PIN,EXPORTER CITY,EXPORTER STATE,EXPORTER PHONE,EXPORTER EMAIL,IMPORTER NAME,Importer_Address,IMPORTER COUNTRY,UNIT,QUANTITY,CURRENCY,UNIT RATE,FOB INV VALUE,FOB IN USD,IMPORT PORT,EXPORT PORT,SHIPPING BILLNO
18/11/2025,20081100,PEANUT BUTTER LOT NO. 2511600M PEANUT BU TTER - CRUNCHY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,COTRADING S.L,nan,SPAIN,KGS,4435.2,USD,2.11458,9378.59,9378.59,Barcelona,MUNDRA SEA,7073948
18/11/2025,20081100,PEANUT BUTTER LOT NO. 2511600M PEANUT BU TTER - CREAMY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,COTRADING S.L,nan,SPAIN,KGS,10924.8,USD,2.11458,23101.36,23101.36,Barcelona,MUNDRA SEA,7073948
18/11/2025,20081100,PEANUT BUTTER CARTONS LOT NO: 2510C - Ot her detials as per invoice and packingli st,SAAZ FOODS,52 HAKIMI VILLA SAIFEE SOCIETY TAMBOLI NAL NEAR MALI NI VADI,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",DIST.BHAVNAGAR/GUJARAT,nan,nan,SA,nan,COSTA RICA,KGS,24552.0,USD,1.873,45985.9,45985.9,PUERTO CALDERA,MUNDRA SEA,7080284
17/11/2025,20081100,PEANUT BUTTER LOT NO. 2511599M PEANUT BU TTER - SMOOTH,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,COTRADING S.L,nan,SPAIN,KGS,14421.0,USD,2.0614,29727.45,29727.45,Barcelona,MUNDRA SEA,7055900
17/11/2025,20081100,PEANUT BUTTER LOT NO. 2511596M PEANUT BU TTER - CRUNCHY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,COTRADING S.L,nan,SPAIN,KGS,14421.0,USD,2.0614,29727.45,29727.45,Barcelona,MUNDRA SEA,7055898
17/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,1600.0,USD,16.75,26800.0,20590.0,Durban,MUNDRA SEA,7046646
13/11/2025,20081100,PEANUT BUTTER 510G,SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,HAMED A.KH. AL GHAMDI PARTNERSHIP C,nan,SAUDI ARABIA,KGS,18360.0,USD,1.74673,32069.96,31669.96,Dammam,MUNDRA SEA,6951740
13/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,UNITED ARAB EMIRATES,KGS,15585.6,USD,1.47059,22920.03,22800.03,Jebel Ali,MUNDRA SEA,6947983
12/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,1000.0,USD,16.8,16800.0,14398.95,Durban,MUNDRA SEA,6917877
12/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,250.0,USD,16.0,4000.0,3428.32,Durban,MUNDRA SEA,6917877
